HOR.VER,name,description,start,end,referenceName,referenceDescription,referenceStart,referenceEnd,xOffset,yOffset,zOffset,pitch,roll,azimuth,referenceLatitude,referenceLongitude,referenceElevation,eastOffset,northOffset,xAzimuth,yAzimuth
"000.010",CFGLOC101616,"University of Kansas 2D Wind L1","2016-01-01T00:00:00Z","2017-04-19T19:00:00Z",TOWER101611,"University of Kansas Tower","2010-01-01T00:00:00Z",,6.23,2.36,0.25,0.00,0.00,50.00,39.040431,-95.192150,321.58,-3.26,-5.81,230.00,140.00
"000.010",CFGLOC101616,"University of Kansas 2D Wind L1","2017-04-19T19:00:00Z",,TOWER101611,"University of Kansas Tower","2010-01-01T00:00:00Z",,6.23,2.36,0.25,0.00,0.00,230.00,39.040431,-95.192150,321.58,-3.26,-5.81,230.00,140.00
"000.020",CFGLOC101621,"University of Kansas 2D Wind L2","2016-01-01T00:00:00Z","2017-04-19T19:00:00Z",TOWER101611,"University of Kansas Tower","2010-01-01T00:00:00Z",,6.23,2.36,1.07,0.00,0.00,50.00,39.040431,-95.192150,321.58,-3.26,-5.81,230.00,140.00
"000.020",CFGLOC101621,"University of Kansas 2D Wind L2","2017-04-19T19:00:00Z",,TOWER101611,"University of Kansas Tower","2010-01-01T00:00:00Z",,6.23,2.36,1.07,0.00,0.00,230.00,39.040431,-95.192150,321.58,-3.26,-5.81,230.00,140.00
"000.030",CFGLOC101626,"University of Kansas 2D Wind L3","2016-01-01T00:00:00Z","2017-04-19T18:00:00Z",TOWER101611,"University of Kansas Tower","2010-01-01T00:00:00Z",,6.22,2.36,7.90,0.00,0.00,50.00,39.040431,-95.192150,321.58,-3.25,-5.81,230.00,140.00
"000.030",CFGLOC101626,"University of Kansas 2D Wind L3","2017-04-19T18:00:00Z",,TOWER101611,"University of Kansas Tower","2010-01-01T00:00:00Z",,6.22,2.36,7.90,0.00,0.00,230.00,39.040431,-95.192150,321.58,-3.25,-5.81,230.00,140.00
"000.040",CFGLOC101631,"University of Kansas 2D Wind L4","2016-01-01T00:00:00Z","2017-04-19T17:00:00Z",TOWER101611,"University of Kansas Tower","2010-01-01T00:00:00Z",,6.23,2.36,18.96,0.00,0.00,50.00,39.040431,-95.192150,321.58,-3.26,-5.81,230.00,140.00
"000.040",CFGLOC101631,"University of Kansas 2D Wind L4","2017-04-19T17:00:00Z",,TOWER101611,"University of Kansas Tower","2010-01-01T00:00:00Z",,6.23,2.36,18.96,0.00,0.00,230.00,39.040431,-95.192150,321.58,-3.26,-5.81,230.00,140.00
"000.050",CFGLOC101636,"University of Kansas 2D Wind L5","2016-01-01T00:00:00Z","2017-04-19T15:00:00Z",TOWER101611,"University of Kansas Tower","2010-01-01T00:00:00Z",,6.23,2.36,24.14,0.00,0.00,50.00,39.040431,-95.192150,321.58,-3.26,-5.81,230.00,140.00
"000.050",CFGLOC101636,"University of Kansas 2D Wind L5","2017-04-19T15:00:00Z",,TOWER101611,"University of Kansas Tower","2010-01-01T00:00:00Z",,6.23,2.36,24.14,0.00,0.00,230.00,39.040431,-95.192150,321.58,-3.26,-5.81,230.00,140.00
